Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-02-24_02:15:16,27.8,29.8,50.0,38.0,37.0,39.0,50.0,25.9,1.9,1.4,0.0,100.0,29.5,17.3,0.0,3.7
2022-02-24_02:15:18,27.8,29.8,47.0,39.0,39.0,47.0,40.0,27.7,7.2,1.0,91.4,10.1,30.6,18.4,0.0,3.8
2022-02-24_02:15:20,27.8,29.8,47.0,39.0,40.0,47.0,40.0,25.8,1.0,1.4,100.0,0.5,29.6,17.3,0.0,3.7
2022-02-24_02:15:22,27.8,29.8,48.0,38.0,39.0,48.0,41.0,26.4,1.4,3.4,99.5,0.5,30.3,18.0,0.0,3.9
2022-02-24_02:15:24,27.8,29.8,50.0,38.0,39.0,50.0,39.0,25.9,1.0,0.5,100.0,1.0,29.6,17.4,0.0,3.7
2022-02-24_02:15:27,27.8,29.8,48.0,39.0,39.0,47.0,48.0,27.7,1.5,1.4,97.1,10.6,30.8,18.5,0.0,3.8
2022-02-24_02:15:29,27.8,29.8,51.0,40.0,42.0,50.0,51.0,51.0,2.4,1.9,100.0,100.0,42.4,31.2,0.0,4.0
2022-02-24_02:15:31,27.8,29.8,52.0,39.0,41.0,50.0,52.0,51.0,2.9,1.0,99.5,99.5,42.5,31.2,0.0,4.0
2022-02-24_02:15:33,27.8,29.8,48.0,39.0,40.0,48.0,41.0,34.3,2.9,1.9,99.0,33.7,33.9,22.0,0.0,3.9
2022-02-24_02:15:35,27.8,29.8,48.0,37.0,40.0,48.0,41.0,25.7,1.4,0.0,100.0,0.5,29.6,17.4,0.0,3.7
2022-02-24_02:15:37,27.8,29.8,46.0,37.0,40.0,46.0,40.0,25.9,1.0,1.0,100.0,1.0,29.4,17.2,0.0,3.6
2022-02-24_02:15:39,27.8,29.8,49.0,39.0,49.0,39.0,38.0,27.5,9.2,95.2,1.9,3.9,31.0,18.7,0.0,3.8
2022-02-24_02:15:41,27.8,29.8,48.0,39.0,48.0,38.0,40.0,26.6,1.9,100.0,2.8,2.4,29.7,17.4,0.0,3.7
2022-02-24_02:15:43,27.8,29.8,47.0,40.0,47.0,39.0,40.0,28.2,7.3,100.0,1.4,4.7,30.9,18.6,0.0,3.8
2022-02-24_02:15:45,27.8,29.8,48.0,40.0,48.0,38.0,39.0,26.5,2.8,100.0,0.5,3.3,29.7,17.4,0.0,3.7
2022-02-24_02:15:47,27.8,29.8,46.0,39.0,40.0,46.0,40.0,27.3,7.5,94.7,6.3,1.9,30.3,18.0,0.0,3.8
2022-02-24_02:15:49,27.8,29.8,46.0,38.0,39.0,47.0,41.0,26.7,3.8,1.0,100.0,0.0,30.1,17.9,0.0,3.7
2022-02-24_02:15:52,27.8,29.8,46.0,39.0,41.0,46.0,40.0,25.8,1.0,1.9,100.0,1.0,29.7,17.4,0.0,3.7
2022-02-24_02:15:54,27.8,29.8,49.0,38.0,40.0,38.0,49.0,27.6,1.0,6.8,34.9,67.3,30.5,18.4,0.0,3.8
2022-02-24_02:15:56,27.8,29.8,49.0,37.0,39.0,38.0,49.0,26.0,1.0,1.9,0.5,100.0,29.5,17.4,0.0,3.7
2022-02-24_02:15:58,27.8,29.8,47.0,38.0,42.0,47.0,41.0,27.5,1.0,7.7,19.7,82.6,30.5,18.3,0.0,3.8
2022-02-24_02:16:00,27.8,29.8,46.0,38.0,40.0,46.0,41.0,25.8,1.0,1.0,100.0,1.4,29.6,17.3,0.0,3.7
2022-02-24_02:16:02,27.8,29.8,48.0,39.0,41.0,48.0,40.0,25.8,0.0,1.9,100.0,1.0,29.7,17.5,0.0,3.7
2022-02-24_02:16:04,27.8,29.8,49.0,49.0,40.0,36.0,40.0,27.6,72.0,10.6,25.8,1.5,30.9,18.6,0.0,3.8
2022-02-24_02:16:06,27.8,29.8,48.0,48.0,40.0,37.0,39.0,25.8,100.0,1.4,0.5,0.5,30.0,17.5,0.0,3.7
2022-02-24_02:16:08,27.8,29.8,50.0,50.0,40.0,36.0,39.0,25.9,100.0,1.5,1.0,1.0,30.3,17.9,0.0,3.8
2022-02-24_02:16:10,27.8,29.8,49.0,49.0,40.0,37.0,38.0,25.9,100.0,1.4,1.0,1.4,29.9,17.6,0.0,3.7
2022-02-24_02:16:12,27.8,29.8,48.0,48.0,40.0,37.0,39.0,26.1,100.0,1.4,2.8,0.0,29.8,17.5,0.0,3.7
2022-02-24_02:16:14,27.8,29.8,51.0,51.0,51.0,40.0,39.0,46.2,96.7,81.3,5.7,1.4,40.4,28.7,0.0,4.0
2022-02-24_02:16:17,27.8,29.8,51.0,51.0,51.0,40.0,41.0,51.2,99.5,100.0,3.4,2.8,42.9,31.5,0.0,4.0
2022-02-24_02:16:19,27.8,29.8,49.0,49.0,40.0,37.0,40.0,44.2,99.5,71.6,1.9,1.9,39.4,27.7,0.0,4.0
2022-02-24_02:16:21,27.8,29.8,48.0,48.0,40.0,37.0,40.0,25.7,100.0,0.5,1.0,1.4,29.8,17.5,0.0,3.7
2022-02-24_02:16:23,27.8,29.8,49.0,49.0,40.0,37.0,40.0,26.0,100.0,0.5,0.5,1.5,29.9,17.6,0.0,3.7
2022-02-24_02:16:25,27.8,29.8,48.0,39.0,40.0,48.0,40.0,27.8,41.5,3.3,62.8,4.8,31.0,18.7,0.0,3.8
2022-02-24_02:16:27,27.8,29.8,47.0,38.0,41.0,46.0,40.0,25.6,0.0,1.0,100.0,0.5,29.6,17.4,0.0,3.7
2022-02-24_02:16:29,27.8,29.8,49.0,39.0,48.0,39.0,41.0,27.6,2.4,19.8,87.1,1.0,30.7,18.5,0.0,3.8
2022-02-24_02:16:31,27.8,29.8,48.0,39.0,48.0,40.0,38.0,25.7,1.0,100.0,0.0,0.0,29.9,17.6,0.0,3.7
2022-02-24_02:16:33,27.8,29.8,49.0,40.0,49.0,39.0,40.0,26.0,1.9,100.0,1.0,1.4,29.8,17.5,0.0,3.7
2022-02-24_02:16:35,27.8,29.8,50.0,50.0,40.0,38.0,39.0,27.6,83.7,17.8,7.7,0.5,30.9,18.6,0.0,3.8
2022-02-24_02:16:37,27.8,29.8,49.0,49.0,41.0,39.0,38.0,25.8,100.0,0.5,1.9,1.0,29.9,17.5,0.0,3.7
2022-02-24_02:16:39,27.8,29.8,48.0,38.0,38.0,40.0,49.0,28.3,71.8,2.4,2.4,36.8,30.8,18.5,0.0,3.8
2022-02-24_02:16:42,27.8,29.8,48.0,38.0,38.0,40.0,48.0,26.5,1.0,4.2,1.0,100.0,29.4,17.2,0.0,3.7
2022-02-24_02:16:44,27.8,29.8,48.0,39.0,40.0,40.0,48.0,26.1,0.5,2.8,1.4,100.0,29.5,17.3,0.0,3.7
2022-02-24_02:16:46,27.8,29.8,49.0,40.0,39.0,48.0,40.0,27.5,1.5,6.8,98.1,3.4,30.8,18.6,0.0,3.8
2022-02-24_02:16:48,27.8,29.8,46.0,39.0,38.0,46.0,40.0,25.9,1.4,1.0,100.0,1.0,29.5,17.3,0.0,3.7
2022-02-24_02:16:50,27.8,29.8,50.0,50.0,39.0,38.0,40.0,27.7,52.2,1.4,55.3,1.9,30.8,18.5,0.0,3.8
2022-02-24_02:16:52,27.8,29.8,48.0,48.0,40.0,36.0,40.0,26.0,100.0,1.0,0.5,1.9,29.9,17.6,0.0,3.7
