Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-03-17_05:03:11,27.8,29.8,36.0,35.0,34.0,32.0,37.0,1.3,1.5,0.0,0.5,1.9,7.5,0.3,0.0,2.0
2022-03-17_05:03:13,27.8,29.8,36.0,35.0,34.0,33.0,36.0,1.1,2.9,1.4,1.0,0.5,7.3,0.2,0.0,2.0
2022-03-17_05:03:15,27.8,29.8,36.0,34.0,33.0,32.0,34.0,0.8,1.0,1.0,0.5,1.0,7.3,0.2,0.0,2.0
2022-03-17_05:03:17,27.8,29.8,36.0,34.0,33.0,33.0,36.0,1.8,2.4,0.5,1.9,1.4,7.3,0.2,0.0,2.0
2022-03-17_05:03:19,27.8,29.8,36.0,35.0,34.0,34.0,36.0,0.7,1.4,0.5,0.5,1.4,7.3,0.2,0.0,2.0
2022-03-17_05:03:22,27.8,29.8,36.0,34.0,35.0,33.0,36.0,1.0,1.9,1.0,1.0,0.5,7.3,0.3,0.0,2.0
2022-03-17_05:03:24,27.8,29.8,36.0,34.0,34.0,32.0,36.0,1.6,3.3,1.0,0.0,0.5,7.3,0.2,0.0,2.0
2022-03-17_05:03:26,27.8,29.8,36.0,34.0,34.0,32.0,36.0,1.0,1.4,1.0,1.0,0.5,7.3,0.2,0.0,2.0
2022-03-17_05:03:28,27.8,29.8,36.0,34.0,34.0,33.0,36.0,1.1,1.4,0.5,1.4,1.4,7.3,0.3,0.0,2.0
2022-03-17_05:03:30,27.8,29.8,36.0,35.0,33.0,32.0,36.0,1.1,1.9,0.5,0.5,0.5,7.3,0.2,0.0,2.0
2022-03-17_05:03:32,27.8,29.8,36.0,34.0,35.0,32.0,37.0,1.7,2.4,1.4,2.8,1.0,7.3,0.2,0.0,2.0
2022-03-17_05:03:34,27.8,29.8,37.0,35.0,34.0,33.0,37.0,1.2,1.4,0.5,0.5,2.4,7.3,0.2,0.0,2.0
