Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-03-10_02:31:44,27.8,29.8,35.0,32.0,33.0,30.0,33.0,1.1,1.9,1.0,0.5,0.5,7.3,0.2,0.0,2.0
2022-03-10_02:31:46,27.8,29.8,34.0,34.0,33.0,31.0,34.0,1.1,1.4,1.9,0.5,0.5,7.3,0.2,0.0,2.0
2022-03-10_02:31:48,27.8,29.8,33.0,33.0,32.0,31.0,34.0,0.8,1.4,0.5,1.0,0.0,7.3,0.2,0.0,2.0
2022-03-10_02:31:51,27.8,29.8,33.0,33.0,34.0,31.0,33.0,1.4,1.0,0.5,1.9,1.9,7.3,0.2,0.0,2.0
2022-03-10_02:31:53,27.8,29.8,34.0,34.0,34.0,30.0,33.0,1.4,2.4,1.9,1.9,1.0,7.4,0.3,0.0,2.0
2022-03-10_02:31:55,27.8,29.8,34.0,33.0,32.0,30.0,34.0,1.2,0.5,1.0,1.9,0.5,7.4,0.3,0.0,2.0
2022-03-10_02:31:57,27.8,29.8,34.0,32.0,32.0,29.0,32.0,1.6,0.5,1.9,2.4,1.9,7.5,0.4,0.0,2.0
2022-03-10_02:31:59,27.8,29.8,33.0,32.0,33.0,31.0,33.0,1.3,0.5,1.4,2.8,0.0,7.3,0.2,0.0,2.0
2022-03-10_02:32:01,27.8,29.8,34.0,32.0,34.0,31.0,33.0,1.1,1.9,0.5,0.5,1.0,7.3,0.2,0.0,2.0
2022-03-10_02:32:03,27.8,29.8,34.0,32.0,33.0,30.0,33.0,1.1,1.4,1.0,1.4,0.5,7.6,0.4,0.0,2.1
2022-03-10_02:32:05,27.8,29.8,34.0,33.0,33.0,31.0,34.0,5.8,10.0,0.5,9.7,3.3,11.0,3.2,0.0,2.3
2022-03-10_02:32:07,27.8,29.8,34.0,34.0,33.0,32.0,34.0,10.0,14.4,2.4,15.8,7.8,14.6,5.9,0.0,2.6
2022-03-10_02:32:09,27.8,29.8,34.0,32.0,35.0,31.0,34.0,4.8,1.4,13.4,1.4,1.9,10.7,2.3,0.0,3.0
2022-03-10_02:32:11,27.8,29.8,34.0,33.0,32.0,31.0,34.0,1.7,1.9,3.3,1.0,1.0,8.9,0.5,0.0,3.5
2022-03-10_02:32:14,27.8,29.8,34.0,33.0,34.0,31.0,34.0,2.3,1.9,1.0,1.9,4.2,8.8,0.4,0.0,3.5
2022-03-10_02:32:16,27.8,29.8,35.0,33.0,33.0,31.0,34.0,2.4,2.4,0.5,2.4,3.8,8.9,0.5,0.0,3.5
